threshold,fpr,tpr
7.067669172932330435e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.092731829573934998e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.117794486215538452e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.142857142857141906e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.167919799498746469e-01,9.968000000000000194e-01,1.000000000000000000e+00
7.192982456140351033e-01,9.968000000000000194e-01,1.000000000000000000e+00
7.218045112781954487e-01,9.971999999999999753e-01,1.000000000000000000e+00
7.243107769423557940e-01,9.973999999999999533e-01,1.000000000000000000e+00
7.268170426065162504e-01,9.973999999999999533e-01,1.000000000000000000e+00
7.293233082706767068e-01,9.973999999999999533e-01,1.000000000000000000e+00
7.318295739348370521e-01,9.976000000000000423e-01,1.000000000000000000e+00
7.343358395989973975e-01,9.976000000000000423e-01,1.000000000000000000e+00
7.368421052631578538e-01,9.976000000000000423e-01,1.000000000000000000e+00
7.393483709273183102e-01,9.978000000000000203e-01,1.000000000000000000e+00
7.418546365914786556e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.443609022556390009e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.468671679197994573e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.493734335839599137e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.518796992481202590e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.543859649122806044e-01,9.979999999999999982e-01,1.000000000000000000e+00
7.568922305764410607e-01,9.983999999999999542e-01,1.000000000000000000e+00
7.593984962406015171e-01,9.986000000000000432e-01,1.000000000000000000e+00
7.619047619047618625e-01,9.988000000000000211e-01,1.000000000000000000e+00
7.644110275689222078e-01,9.989999999999999991e-01,1.000000000000000000e+00
7.669172932330826642e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.694235588972431206e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.719298245614034659e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.744360902255638113e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.769423558897242676e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.794486215538847240e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.819548872180450694e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.844611528822054147e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.869674185463658711e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.894736842105263275e-01,9.993999999999999551e-01,1.000000000000000000e+00
7.919799498746866728e-01,9.996000000000000441e-01,1.000000000000000000e+00
7.944862155388470182e-01,9.998000000000000220e-01,1.000000000000000000e+00
7.969924812030074746e-01,9.998000000000000220e-01,1.000000000000000000e+00
7.994987468671679309e-01,9.998000000000000220e-01,1.000000000000000000e+00
8.020050125313282763e-01,9.998000000000000220e-01,1.000000000000000000e+00
8.045112781954886216e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.070175438596490780e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.095238095238095344e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.120300751879698797e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.145363408521302251e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.170426065162906815e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.195488721804511378e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.220551378446114832e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.245614035087718285e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.270676691729322849e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.295739348370927413e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.320802005012530866e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.345864661654134320e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.370927318295738884e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.395989974937343447e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.421052631578946901e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.446115288220550354e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.471177944862154918e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.496240601503759482e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.521303258145362935e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.546365914786966389e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.571428571428570953e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.596491228070175517e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.621553884711778970e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.646616541353382424e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.671679197994986987e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.696741854636591551e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.721804511278195005e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.746867167919798458e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.771929824561403022e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.796992481203007586e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.822055137844611039e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.847117794486214493e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.872180451127819056e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.897243107769423620e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.922305764411027074e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.947368421052630527e-01,1.000000000000000000e+00,1.000000000000000000e+00
